group	action	accession	organism_name	strain	reason
Lactococcus	removed	GCF_055180435.1	Lactococcus cremoris	FAM 17886	replaced by qualifying literature-anchor strain while preserving 15/group
Lactococcus	removed	GCF_003176835.1	Lactococcus lactis subsp. lactis	14B4	replaced by qualifying literature-anchor strain while preserving 15/group
Lactococcus	removed	GCF_060305805.1	Lactococcus lactis	LBMWF02	replaced by qualifying literature-anchor strain while preserving 15/group
Lactococcus	removed	GCF_039645515.1	Lactococcus petauri	R22	replaced by qualifying literature-anchor strain while preserving 15/group
Lactococcus	removed	GCF_016919665.1	Lactococcus taiwanensis	K_LL001	replaced by qualifying literature-anchor strain while preserving 15/group
Lactococcus	added	GCF_000009425.1	Lactococcus cremoris subsp. cremoris MG1363	MG1363	qualifying exact literature-anchor strain
Lactococcus	added	GCF_000014545.1	Lactococcus cremoris subsp. cremoris SK11	SK11	qualifying exact literature-anchor strain
Lactococcus	added	GCF_000025045.1	Lactococcus lactis subsp. lactis KF147	KF147	qualifying exact literature-anchor strain
Lactococcus	added	GCF_003722275.1	Lactococcus lactis subsp. lactis IL1403	IL1403	qualifying exact literature-anchor strain
Lactococcus	added	GCF_035985965.1	Lactococcus lactis	C20	qualifying exact literature-anchor strain
Streptococcus_thermophilus	removed	GCF_903891205.1	Streptococcus thermophilus		replaced by qualifying literature-anchor strain while preserving 15/group
Streptococcus_thermophilus	removed	GCF_057786735.1	Streptococcus thermophilus		replaced by qualifying literature-anchor strain while preserving 15/group
Streptococcus_thermophilus	removed	GCF_903891025.1	Streptococcus thermophilus		replaced by qualifying literature-anchor strain while preserving 15/group
Streptococcus_thermophilus	removed	GCF_903885985.1	Streptococcus thermophilus		replaced by qualifying literature-anchor strain while preserving 15/group
Streptococcus_thermophilus	removed	GCF_903886345.1	Streptococcus thermophilus		replaced by qualifying literature-anchor strain while preserving 15/group
Streptococcus_thermophilus	added	GCF_029866985.1	Streptococcus thermophilus	DGCC7710	qualifying exact literature-anchor strain
Streptococcus_thermophilus	added	GCF_025739325.1	Streptococcus thermophilus	CNRZ1151	qualifying exact literature-anchor strain
Streptococcus_thermophilus	added	GCF_025948295.1	Streptococcus thermophilus	CNRZ385	qualifying exact literature-anchor strain
Streptococcus_thermophilus	added	GCF_039783225.1	Streptococcus thermophilus	CNRZ760	qualifying exact literature-anchor strain
Streptococcus_thermophilus	added	GCF_039783785.1	Streptococcus thermophilus	CNRZ887	qualifying exact literature-anchor strain
Lactiplantibacillus	removed	GCF_009913655.1	Lactiplantibacillus plantarum	SRCM100442	replaced by qualifying literature-anchor strain while preserving 15/group
Lactiplantibacillus	removed	GCF_029854335.1	Lactiplantibacillus plantarum	MY04	replaced by qualifying literature-anchor strain while preserving 15/group
Lactiplantibacillus	removed	GCF_050847345.1	Lactiplantibacillus argentoratensis	12-27B	replaced by qualifying literature-anchor strain while preserving 15/group
Lactiplantibacillus	removed	GCF_050407965.1	Lactiplantibacillus pentosus	TBRC 20328	replaced by qualifying literature-anchor strain while preserving 15/group
Lactiplantibacillus	added	GCF_000203855.3	Lactiplantibacillus plantarum WCFS1	WCFS1	qualifying exact literature-anchor strain
Lactiplantibacillus	added	GCF_000023085.1	Lactiplantibacillus plantarum JDM1	JDM1	qualifying exact literature-anchor strain
Lactiplantibacillus	added	GCF_014131735.1	Lactiplantibacillus plantarum DSM 20174	DSM 20174	qualifying exact literature-anchor strain
Lactiplantibacillus	added	GCF_000148815.2	Lactiplantibacillus plantarum subsp. plantarum ST-III	ST-III	qualifying exact literature-anchor strain
Lacticaseibacillus	removed	GCF_900636965.1	Lacticaseibacillus rhamnosus	NCTC 13764	replaced by qualifying literature-anchor strain while preserving 15/group
Lacticaseibacillus	added	GCF_000011045.1	Lacticaseibacillus rhamnosus GG	GG	qualifying exact literature-anchor strain
Limosilactobacillus	removed	GCF_033570435.1	Limosilactobacillus reuteri	P43	replaced by qualifying literature-anchor strain while preserving 15/group
Limosilactobacillus	removed	GCF_965286585.1	Limosilactobacillus fermentum	HF-IBB-205	replaced by qualifying literature-anchor strain while preserving 15/group
Limosilactobacillus	added	GCF_000016825.1	Limosilactobacillus reuteri DSM 20016	DSM 20016	qualifying exact literature-anchor strain
Limosilactobacillus	added	GCF_000010145.1	Limosilactobacillus fermentum IFO 3956	IFO 3956	qualifying exact literature-anchor strain
Lactobacillus_sensu_stricto	removed	GCF_046109915.1	Lactobacillus helveticus	TCI357	replaced by qualifying literature-anchor strain while preserving 15/group
Lactobacillus_sensu_stricto	removed	GCF_001888925.1	Lactobacillus delbrueckii	DSM 26046	replaced by qualifying literature-anchor strain while preserving 15/group
Lactobacillus_sensu_stricto	added	GCF_000015385.1	Lactobacillus helveticus DPC 4571	DPC 4571	qualifying exact literature-anchor strain
Lactobacillus_sensu_stricto	added	GCF_000056065.1	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	ATCC 11842	qualifying exact literature-anchor strain; documented legacy complete-genome exception because CheckM contamination was not reported
Leuconostoc	removed	GCF_007954785.1	Leuconostoc citreum	CBA3621	replaced by qualifying literature-anchor strain while preserving 15/group
Leuconostoc	added	GCF_047344935.1	Leuconostoc mesenteroides F17	F17	qualifying exact literature-anchor strain
