group	accession
Lactococcus	GCF_000468955.1
Lactococcus	GCF_000009425.1
Lactococcus	GCF_000014545.1
Lactococcus	GCF_037892375.1
Lactococcus	GCF_039645575.1
Lactococcus	GCF_000269925.1
Lactococcus	GCF_000269945.1
Lactococcus	GCF_041225485.1
Lactococcus	GCF_003722275.1
Lactococcus	GCF_035985965.1
Lactococcus	GCF_000025045.1
Lactococcus	GCF_041225605.1
Lactococcus	GCF_045760565.1
Lactococcus	GCF_023499275.1
Lactococcus	GCF_017068355.1
Streptococcus_thermophilus	GCF_020844005.1
Streptococcus_thermophilus	GCF_025739325.1
Streptococcus_thermophilus	GCF_025948295.1
Streptococcus_thermophilus	GCF_038049945.1
Streptococcus_thermophilus	GCF_039783225.1
Streptococcus_thermophilus	GCF_039783785.1
Streptococcus_thermophilus	GCF_041509385.1
Streptococcus_thermophilus	GCF_041514285.1
Streptococcus_thermophilus	GCF_041514295.1
Streptococcus_thermophilus	GCF_041893975.1
Streptococcus_thermophilus	GCF_029866985.1
Streptococcus_thermophilus	GCF_009856565.1
Streptococcus_thermophilus	GCF_903886475.1
Streptococcus_thermophilus	GCF_056269605.1
Streptococcus_thermophilus	GCF_024334065.1
Lactiplantibacillus	GCF_000023085.1
Lactiplantibacillus	GCF_000148815.2
Lactiplantibacillus	GCF_000203855.3
Lactiplantibacillus	GCF_002970915.1
Lactiplantibacillus	GCF_002970935.1
Lactiplantibacillus	GCF_003641185.1
Lactiplantibacillus	GCF_005405405.1
Lactiplantibacillus	GCF_014131735.1
Lactiplantibacillus	GCF_029025825.1
Lactiplantibacillus	GCF_036246185.1
Lactiplantibacillus	GCF_037290055.1
Lactiplantibacillus	GCF_045862825.1
Lactiplantibacillus	GCF_051098045.1
Lactiplantibacillus	GCF_963243495.1
Lactiplantibacillus	GCF_965136965.1
Lacticaseibacillus	GCF_000011045.1
Lacticaseibacillus	GCF_000155515.2
Lacticaseibacillus	GCF_001434705.1
Lacticaseibacillus	GCF_001436135.1
Lacticaseibacillus	GCF_009184845.1
Lacticaseibacillus	GCF_013407595.1
Lacticaseibacillus	GCF_028736235.1
Lacticaseibacillus	GCF_029726355.1
Lacticaseibacillus	GCF_030480545.1
Lacticaseibacillus	GCF_030770265.1
Lacticaseibacillus	GCF_030770295.1
Lacticaseibacillus	GCF_030770335.1
Lacticaseibacillus	GCF_036246225.1
Lacticaseibacillus	GCF_042847315.1
Lacticaseibacillus	GCF_054452875.2
Limosilactobacillus	GCF_000010145.1
Limosilactobacillus	GCF_000016825.1
Limosilactobacillus	GCF_000160835.1
Limosilactobacillus	GCF_001435245.1
Limosilactobacillus	GCF_001437055.1
Limosilactobacillus	GCF_014145555.1
Limosilactobacillus	GCF_014145615.1
Limosilactobacillus	GCF_019797825.1
Limosilactobacillus	GCF_020784695.1
Limosilactobacillus	GCF_025311495.1
Limosilactobacillus	GCF_028607025.1
Limosilactobacillus	GCF_039955095.1
Limosilactobacillus	GCF_054331775.1
Limosilactobacillus	GCF_056676095.1
Limosilactobacillus	GCF_963281025.1
Lactobacillus_sensu_stricto	GCF_000014425.1
