assembly_accession	marker	protein_accession	mapping	candidate_count	sequence_sha256	original_header
GCF_903886475.1	5-FTHF_cyc-lig	WP_011226605.1	unique_exact_sequence	1	abbedc8e3b15c7674dd152f010035cfcdba2b8011a5ce89656f87b163fb5eaf1	WP_011226605.1 MULTISPECIES: 5-formyltetrahydrofolate cyclo-ligase [Streptococcus]
GCF_002970915.1	5-FTHF_cyc-lig	WP_234002748.1	unique_exact_sequence	1	727fcfa8ca12513e5a33700b6ceac58b982666123b36b52ab612d884e4598414	WP_234002748.1 5-formyltetrahydrofolate cyclo-ligase [Lactiplantibacillus koreensis]
GCF_000468955.1	5-FTHF_cyc-lig	WP_021036584.1	unique_exact_sequence	1	95a5ae328a977cd9f5f538642fe7d25799c24afaa65c59176f9f0607239f3e15	WP_021036584.1 5-formyltetrahydrofolate cyclo-ligase [Lactococcus cremoris]
GCF_903886475.1	ADK	WP_002952136.1	unique_exact_sequence	1	78e656b8a2365579808ffbc418689c3ede7d75dc702c331e20d954acd6cd2a51	WP_002952136.1 MULTISPECIES: adenylate kinase [Streptococcus]
GCF_002970915.1	ADK	WP_304598425.1	unique_exact_sequence	1	c25f2d6f7584e7dcd2531da4637b5fb3e4c511ed2e2d095a9c6fc7aafd4d5a56	WP_304598425.1 adenylate kinase [Lactiplantibacillus koreensis]
GCF_000468955.1	ADK	WP_011677149.1	unique_exact_sequence	1	e314071a0e9cab1117345b9d1bad825fee48616983bfb166c792818277c143b2	WP_011677149.1 MULTISPECIES: adenylate kinase [Lactococcus]
GCF_903886475.1	AICARFT_IMPCHas	WP_002949016.1	unique_exact_sequence	1	e3ab256be632f16fc52f1654344afd0d27d7c74000b271c3b09220573a309ddf	WP_002949016.1 bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase [Streptococcus thermophilus]
GCF_002970915.1	AICARFT_IMPCHas	WP_105451459.1	unique_exact_sequence	1	c08383cf2c93b8f9f7bc39ac7ac6671c91570312b5c9a23c74d81a8d0729b998	WP_105451459.1 bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase [Lactiplantibacillus koreensis]
GCF_000468955.1	AICARFT_IMPCHas	WP_021037494.1	unique_exact_sequence	1	180be243adc982ffdbc7cae401afc0a3c97c6af888ef13719973de48e1f15a0f	WP_021037494.1 bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase [Lactococcus cremoris]
GCF_903886475.1	ATP-synt_A	WP_011225593.1	unique_exact_sequence	1	3672946ce7253aaffc302ff0a1981e0ce2b02c8f110b17011839eb08734697b5	WP_011225593.1 F0F1 ATP synthase subunit A [Streptococcus thermophilus]
GCF_002970915.1	ATP-synt_A	WP_105451298.1	unique_exact_sequence	1	edd981f52a24c49dba3d156f5d62775dae7ede4f73c4457e54fb09b38908a74e	WP_105451298.1 F0F1 ATP synthase subunit A [Lactiplantibacillus koreensis]
GCF_000468955.1	ATP-synt_A	WP_004255255.1	unique_exact_sequence	1	c57b350628f1c35de173931d3e0c05b4e6dda8853c93ce2dd01a083937dd12c6	WP_004255255.1 MULTISPECIES: F0F1 ATP synthase subunit A [Lactococcus]
GCF_903886475.1	ATP-synt_B	WP_011225594.1	unique_exact_sequence	1	2cfc9eb9b4295b34bb304c77cbd758b719c9d97daa8a2eab7c0c34a1cd80f028	WP_011225594.1 F0F1 ATP synthase subunit B [Streptococcus thermophilus]
