group	accession	organism_name	strain	anchor_rationale	quality_exception
Lactococcus	GCF_000009425.1	Lactococcus cremoris subsp. cremoris MG1363	MG1363	Lactococcus cremoris MG1363; model plasmid-free engineering chassis	
Lactococcus	GCF_000014545.1	Lactococcus cremoris subsp. cremoris SK11	SK11	Lactococcus cremoris SK11; classic dairy genome	
Lactococcus	GCF_000025045.1	Lactococcus lactis subsp. lactis KF147	KF147	Lactococcus lactis KF147; plant-associated reference strain in manuscript context	
Lactococcus	GCF_003722275.1	Lactococcus lactis subsp. lactis IL1403	IL1403	Lactococcus lactis IL1403; classic complete-genome model	
Lactococcus	GCF_035985965.1	Lactococcus lactis	C20	Lactococcus lactis C20; exact strain in 2025 pre-modification/nisin engineering study	
Lactococcus	GCF_000468955.1	Lactococcus cremoris subsp. cremoris KW2	KW2	Lactococcus cremoris KW2; phage-genome interaction study	
Streptococcus_thermophilus	GCF_029866985.1	Streptococcus thermophilus	DGCC7710	Streptococcus thermophilus DGCC7710; exact strain in landmark CRISPR study	
Streptococcus_thermophilus	GCF_025739325.1	Streptococcus thermophilus	CNRZ1151	Streptococcus thermophilus CNRZ1151; culture-collection anchor	
Streptococcus_thermophilus	GCF_025948295.1	Streptococcus thermophilus	CNRZ385	Streptococcus thermophilus CNRZ385; culture-collection anchor	
Streptococcus_thermophilus	GCF_039783225.1	Streptococcus thermophilus	CNRZ760	Streptococcus thermophilus CNRZ760; culture-collection anchor	
Streptococcus_thermophilus	GCF_039783785.1	Streptococcus thermophilus	CNRZ887	Streptococcus thermophilus CNRZ887; culture-collection anchor	
Lactiplantibacillus	GCF_000203855.3	Lactiplantibacillus plantarum WCFS1	WCFS1	Lactiplantibacillus plantarum WCFS1; mrr/genome and transformation-context anchor	
Lactiplantibacillus	GCF_000023085.1	Lactiplantibacillus plantarum JDM1	JDM1	Lactiplantibacillus plantarum JDM1; mrr/genome anchor	
Lactiplantibacillus	GCF_014131735.1	Lactiplantibacillus plantarum DSM 20174	DSM 20174	Lactiplantibacillus plantarum DSM 20174; mrr comparison anchor	
Lactiplantibacillus	GCF_000148815.2	Lactiplantibacillus plantarum subsp. plantarum ST-III	ST-III	Lactiplantibacillus plantarum ST-III; mrr-negative comparison in donor-methylation literature	
Lacticaseibacillus	GCF_000011045.1	Lacticaseibacillus rhamnosus GG	GG	Lacticaseibacillus rhamnosus GG; major probiotic reference strain	
Limosilactobacillus	GCF_000016825.1	Limosilactobacillus reuteri DSM 20016	DSM 20016	Limosilactobacillus reuteri DSM 20016; reference strain	
Limosilactobacillus	GCF_000010145.1	Limosilactobacillus fermentum IFO 3956	IFO 3956	Limosilactobacillus fermentum IFO 3956; reference strain	
Lactobacillus_sensu_stricto	GCF_000015385.1	Lactobacillus helveticus DPC 4571	DPC 4571	Lactobacillus helveticus DPC 4571; complete-genome dairy anchor	
Lactobacillus_sensu_stricto	GCF_000056065.1	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	ATCC 11842	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842; complete one-contig legacy reference; CheckM contamination unavailable	documented_legacy_complete_anchor_exception: CheckM completeness=97.42%; contamination_not_reported; one-contig complete genome
Leuconostoc	GCF_047344935.1	Leuconostoc mesenteroides F17	F17	Leuconostoc mesenteroides F17; strain-level anchor for plasmid-borne R-M literature context	
Leuconostoc	GCF_000014445.1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	ATCC 8293	Leuconostoc mesenteroides ATCC 8293; reference genome	
Leuconostoc	GCF_000026405.1	Leuconostoc citreum KM20	KM20	Leuconostoc citreum KM20; reference genome	
Pediococcus	GCF_000014505.1	Pediococcus pentosaceus ATCC 25745	ATCC 25745	Pediococcus pentosaceus ATCC 25745; reference genome	
Oenococcus	GCF_000014385.1	Oenococcus oeni PSU-1	PSU-1	Oenococcus oeni PSU-1; reference genome	
